property_propertyID|inspectionID|firstInspectionDate|inspectionPassDate|GENERATEreinspect|GENERATEresolved|inspectionComments
12470|1|2015-04-14 00:00:00|2015-06-02 00:00:00|False|False|None
14902|2|2015-04-17 00:00:00|None|False|True|None
15987|3|2015-04-21 00:00:00|None|False|True|None
12520|4|2015-04-24 00:00:00|None|False|True|None
12425|5|2015-04-28 00:00:00|2015-05-01 00:00:00|False|True|None
15318|6|2015-04-28 00:00:00|2015-05-01 00:00:00|False|True|None
15318|7|2015-05-01 00:00:00|2015-05-01 00:00:00|False|True|None
12425|8|2015-05-01 00:00:00|2015-05-01 00:00:00|False|True|None
16158|9|2015-05-05 00:00:00|None|False|True|None
15773|10|2015-05-05 00:00:00|None|False|True|None
15987|11|2015-05-12 00:00:00|2015-05-12 00:00:00|False|True|None
15871|12|2015-05-13 00:00:00|2015-05-13 00:00:00|False|True|None
12368|13|2015-05-13 00:00:00|2015-07-17 00:00:00|False|True|None
15465|14|2015-05-19 00:00:00|2015-06-02 00:00:00|False|False|None
15989|15|2015-05-19 00:00:00|None|False|True|None
12192|16|2015-05-26 00:00:00|None|False|False|None
12520|17|2015-05-22 00:00:00|2015-05-22 00:00:00|False|True|None
15773|18|2015-05-22 00:00:00|2015-05-22 00:00:00|False|True|None
15254|19|2015-05-22 00:00:00|2015-06-05 00:00:00|False|True|None
15254|20|2015-06-05 00:00:00|2015-06-05 00:00:00|False|False|None
15465|21|2015-06-02 00:00:00|2015-06-02 00:00:00|False|True|None
12192|22|2015-06-02 00:00:00|2015-06-02 00:00:00|False|True|None
12470|23|2015-06-02 00:00:00|2015-06-02 00:00:00|False|True|None
16799|24|2015-06-19 00:00:00|2015-06-24 00:00:00|False|False|None
13427|25|2015-06-23 00:00:00|2015-06-24 00:00:00|False|False|None
16799|26|2015-06-24 00:00:00|2015-06-24 00:00:00|False|True|None
13427|27|2015-06-24 00:00:00|2015-06-24 00:00:00|False|True|None
14682|28|2015-06-16 00:00:00|None|False|True|None
16039|29|2015-06-12 00:00:00|2015-06-23 00:00:00|False|True|None
16039|30|2015-06-23 00:00:00|2015-06-23 00:00:00|False|True|None
13542|31|2015-06-29 00:00:00|None|False|False|None
14682|32|2015-07-07 00:00:00|2015-07-07 00:00:00|False|True|None
14637|33|2015-07-08 00:00:00|2016-02-26 00:00:00|False|True|None
12073|34|2015-07-10 00:00:00|None|False|False|None
12368|35|2015-07-17 00:00:00|2015-07-17 00:00:00|False|True|None
12210|36|2015-07-21 00:00:00|None|False|True|None
15262|37|2015-07-21 00:00:00|None|False|True|None
12167|38|2015-08-04 00:00:00|None|False|True|None
15443|39|2015-08-04 00:00:00|None|False|True|None
15262|40|2015-08-05 00:00:00|2015-08-05 00:00:00|False|True|None
12167|41|2015-08-07 00:00:00|2015-08-07 00:00:00|False|False|None
16158|42|2015-08-07 00:00:00|2015-08-07 00:00:00|False|True|None
16420|43|2015-08-07 00:00:00|None|False|False|None
12210|44|2015-08-14 00:00:00|2015-08-14 00:00:00|False|True|None
13545|45|2015-08-18 00:00:00|None|False|True|None
14816|46|2015-08-18 00:00:00|None|False|False|None
13545|47|2015-08-25 00:00:00|2015-08-25 00:00:00|False|True|None
15443|48|2015-08-28 00:00:00|None|False|True|None
13447|49|2015-08-28 00:00:00|None|False|True|None
14598|50|2015-08-28 00:00:00|2015-12-11 00:00:00|False|True|None
13511|51|2015-09-08 00:00:00|None|False|True|None
12209|52|2016-09-13 00:00:00|2016-09-13 00:00:00|False|False|None
15192|53|2015-09-02 00:00:00|None|False|True|None
15398|54|2015-09-11 00:00:00|None|False|True|None
14572|55|2015-09-11 00:00:00|None|False|True|None
15267|56|2015-06-02 00:00:00|None|False|True|None
15267|57|2015-06-16 00:00:00|None|False|True|None
14643|58|2015-09-18 00:00:00|None|False|True|None
12137|59|2015-09-22 00:00:00|None|False|True|None
13904|60|2015-09-30 00:00:00|None|False|True|None
15386|61|2015-09-29 00:00:00|None|False|True|None
15192|62|2015-09-30 00:00:00|2015-09-30 00:00:00|False|False|None
14643|63|2015-09-22 00:00:00|2015-09-22 00:00:00|False|False|None
15398|64|2015-09-15 00:00:00|2015-09-15 00:00:00|False|False|None
12220|65|2015-10-02 00:00:00|None|False|True|None
15989|66|2015-06-12 00:00:00|2015-06-12 00:00:00|False|True|None
13447|67|2015-10-06 00:00:00|2015-10-06 00:00:00|False|False|None
15357|68|2015-10-06 00:00:00|None|False|True|None
12223|69|2015-10-06 00:00:00|None|False|True|None
16352|70|2015-10-09 00:00:00|None|False|True|None
12568|71|2015-10-16 00:00:00|None|False|True|None
12037|72|2015-10-16 00:00:00|2016-02-26 00:00:00|False|True|None
12220|73|2015-10-27 00:00:00|None|False|True|None
15715|74|2015-10-27 00:00:00|None|False|False|None
12220|75|2015-10-28 00:00:00|None|False|False|None
13904|76|2015-10-28 00:00:00|2015-10-28 00:00:00|False|False|None
12137|77|2015-10-23 00:00:00|2015-10-23 00:00:00|False|False|None
12568|78|2015-10-20 00:00:00|2015-10-20 00:00:00|False|False|None
14572|79|2015-10-14 00:00:00|2015-10-14 00:00:00|False|False|None
12661|80|2015-11-03 00:00:00|None|False|False|None
12661|81|2015-11-10 00:00:00|None|False|False|None
12474|82|2015-12-01 00:00:00|None|False|True|None
